uniprot,pathway
P10176,hsa05010
P10176,hsa04260
P10176,hsa05020
P10176,hsa05022
P10176,hsa05012
P10176,hsa05208
P10176,hsa00190
P10176,hsa04932
P10176,hsa05016
P00450,hsa04216
P00450,hsa00860
P29275,hsa04270
P29275,hsa04020
P29275,hsa04080
P29275,hsa05034
P29275,hsa04015
P15086,hsa04972
P15086,hsa04974
P31327,hsa01100
P31327,hsa00910
P31327,hsa01200
P31327,hsa00220
P31327,hsa01230
P31327,hsa00250
P50416,hsa04922
P50416,hsa00071
P50416,hsa04714
P50416,hsa04936
P50416,hsa04152
P50416,hsa04931
P50416,hsa03320
P50416,hsa01212
P50416,hsa04920
P23786,hsa03320
P23786,hsa04714
P23786,hsa00071
P23786,hsa05415
P23786,hsa01212
P16220,hsa04713
P16220,hsa04710
P16220,hsa04911
P16220,hsa04668
P16220,hsa04925
P16220,hsa04725
P16220,hsa04927
P16220,hsa04918
P16220,hsa04924
P16220,hsa04915
P16220,hsa04152
P16220,hsa05167
P16220,hsa05215
P16220,hsa04931
P16220,hsa05203
P16220,hsa04916
P16220,hsa05163
P16220,hsa05161
P16220,hsa05165
P16220,hsa05031
P16220,hsa04151
P16220,hsa04022
P16220,hsa04612
P16220,hsa04211
P16220,hsa04714
P16220,hsa04922
P16220,hsa05152
P16220,hsa04926
P16220,hsa05207
P16220,hsa05030
P16220,hsa04024
P16220,hsa05166
P16220,hsa05020
P16220,hsa04261
P16220,hsa04928
P16220,hsa04935
P16220,hsa05016
P16220,hsa04962
P16220,hsa04934
P16220,hsa04380
P16220,hsa05034
P16220,hsa04728
P15336,hsa04714
P15336,hsa04915
P15336,hsa04728
P15336,hsa05207
P15336,hsa04151
P15336,hsa05020
P15336,hsa04918
P15336,hsa04911
P15336,hsa04668
P15336,hsa04925
P15336,hsa05030
P15336,hsa05034
P15336,hsa04010
P15336,hsa05203
P15336,hsa04935
P15336,hsa04928
P15336,hsa04022
P15336,hsa05031
P15336,hsa04926
