uniprot,pathway_id
Q15139,hsa04925
Q8IU85,hsa04925
Q13936,hsa04925
Q01668,hsa04925
O60840,hsa04925
Q13698,hsa04925
P0DP23,hsa04925
Q9UQM7,hsa04925
Q13554,hsa04925
Q13557,hsa04925
Q13555,hsa04925
Q14012,hsa04925
Q9P0X4,hsa04925
O95180,hsa04925
O43497,hsa04925
Q9UM73,R-HSA-9717316
P02751,R-HSA-9700645
Q9UM73,R-HSA-9700645
Q6NS38,R-HSA-112122
Q96Q83,R-HSA-112126
P01889,hsa05330
P01579,hsa05330
P60568,hsa05330
P01375,hsa05330
O60427,WP2724
O95864,WP2724
P09110,WP2724
P51659,WP2724
Q9NXB9,WP2724
Q9NYP7,WP2724
O60427,R-HSA-2046106
O95864,R-HSA-2046106
P09110,R-HSA-2046106
P51659,R-HSA-2046106
Q9NXB9,R-HSA-2046106
Q9NYP7,R-HSA-2046106
Q9UNK4,hsa00592
P09110,hsa00592
Q9NZK7,hsa00592
Q15067,hsa00592
P04054,hsa00592
P14555,hsa00592
P47712,hsa00592
O95864,hsa00592
O14832,R-HSA-389599
Q9BY49,R-HSA-389599
Q15750,R-HSA-9645460
P00751,R-HSA-173736
P01024,R-HSA-173736
P05093,WP4524
P16435,WP4524
P26439,WP4524
P31213,WP4524
P52895,WP4524
P05067,WP5124
P37840,WP5124
P05067,WP2059
P37840,WP2059
P30405,hsa05010
Q13509,hsa05010
P68371,hsa05010
P11229,hsa05010
P20309,hsa05010
P08912,hsa05010
P36544,hsa05010
O15111,hsa05010
Q86Y39,hsa05010
P13073,hsa05010
P10606,hsa05010
Q02221,hsa05010
P14854,hsa05010
P09669,hsa05010
P24310,hsa05010
P24311,hsa05010
P15954,hsa05010
P10176,hsa05010
P48729,hsa05010
P68400,hsa05010
P19784,hsa05010
P35222,hsa05010
P04839,hsa05010
P07437,hsa05010
P31749,hsa05010
O75460,hsa05010
P18850,hsa05010
P42345,hsa05010
P04406,hsa05010
Q9Y5S8,hsa05010
Q05586,hsa05010
Q12879,hsa05010
Q13224,hsa05010
Q14957,hsa05010
O15399,hsa05010
P12235,hsa05010
P41594,hsa05010
P05141,hsa05010
P49841,hsa05010
Q99714,hsa05010
P14735,hsa05010
P02649,hsa05010
P05067,hsa05010
O14920,hsa05010
P01584,hsa05010
P05231,hsa05010
P01308,hsa05010
P06213,hsa05010
Q14643,hsa05010
Q14571,hsa05010
Q14573,hsa05010
O75251,hsa05010
P06858,hsa05010
P10636,hsa05010
P08473,hsa05010
P00846,hsa05010
P00395,hsa05010
P00403,hsa05010
P00414,hsa05010
P03886,hsa05010
P03891,hsa05010
P03897,hsa05010
P03905,hsa05010
P03901,hsa05010
P03915,hsa05010
P03923,hsa05010
P18848,hsa05010
O15239,hsa05010
O43678,hsa05010
O95167,hsa05010
O00483,hsa05010
Q16718,hsa05010
P56556,hsa05010
O95182,hsa05010
P51970,hsa05010
Q16795,hsa05010
O95299,hsa05010
O14561,hsa05010
O75438,hsa05010
O95178,hsa05010
O43676,hsa05010
O95168,hsa05010
O43674,hsa05010
O95139,hsa05010
P17568,hsa05010
O95169,hsa05010
Q9Y6M9,hsa05010
O96000,hsa05010
O43677,hsa05010
O95298,hsa05010
P28331,hsa05010
O75306,hsa05010
O75489,hsa05010
P49821,hsa05010
O43181,hsa05010
O43920,hsa05010
O75380,hsa05010
O00217,hsa05010
P19404,hsa05010
P56181,hsa05010
P19838,hsa05010
P29475,hsa05010
P35228,hsa05010
O14983,hsa05010
P16615,hsa05010
P49281,hsa05010
Q9P0J0,hsa05010
P30049,hsa05010
P42336,hsa05010
P42338,hsa05010
O00329,hsa05010
P27986,hsa05010
O00459,hsa05010
P99999,hsa05010
Q96LZ3,hsa05010
P28482,hsa05010
P27361,hsa05010
Q9UI09,hsa05010
P45983,hsa05010
P45984,hsa05010
P53779,hsa05010
Q02750,hsa05010
P36507,hsa05010
P19525,hsa05010
P20618,hsa05010
P49721,hsa05010
P28074,hsa05010
P35354,hsa05010
P04049,hsa05010
Q04206,hsa05010
P31040,hsa05010
O14521,hsa05010
P37840,hsa05010
P15056,hsa05010
P01375,hsa05010
P68366,hsa05010
P21796,hsa05010
Q13936,hsa05010
Q01668,hsa05010
O60840,hsa05010
Q13698,hsa05010
Q71U36,hsa05010
P0DP23,hsa05010
Q9H4B7,hsa05010
P42574,hsa05010
O75385,hsa05010
P55211,hsa05010
Q92569,hsa05010
Q14457,hsa05010
P20674,hsa05010
Q8IYT8,hsa05010
Q8N8R3,R-HSA-352230
Q9UHI5,R-HSA-352230
Q9UPY5,R-HSA-352230
P43005,WP5029
O15342,R-HSA-9639288
O75348,R-HSA-9639288
O95670,R-HSA-9639288
P15313,R-HSA-9639288
P21281,R-HSA-9639288
P21283,R-HSA-9639288
P27449,R-HSA-9639288
P36543,R-HSA-9639288
P38606,R-HSA-9639288
P42345,R-HSA-9639288
P61421,R-HSA-9639288
Q13488,R-HSA-9639288
Q8N8Y2,R-HSA-9639288
Q8NEY4,R-HSA-9639288
Q96A05,R-HSA-9639288
Q99437,R-HSA-9639288
Q9UI12,R-HSA-9639288
Q9Y5K8,R-HSA-9639288
P00387,hsa00520
P06744,hsa00520
P07686,hsa00520
Q9UHQ9,hsa00520
Q13630,hsa00520
O60701,hsa00520
Q9NSD9,hsa00970
Q9UGM6,hsa00970
O95363,hsa00970
Q5JPH6,hsa00970
P07814,hsa00970
Q9Y285,hsa00970
P41250,hsa00970
Q9HD40,hsa00970
P23381,hsa00970
Q9HA77,hsa00970
P49589,hsa00970
Q08828,hsa05146
P02751,hsa05146
P01579,hsa05146
P01584,hsa05146
P05231,hsa05146
P05089,hsa05146
P19838,hsa05146
P35228,hsa05146
Q06830,hsa05146
P50453,hsa05146
P42336,hsa05146
P42338,hsa05146
O00329,hsa05146
P27986,hsa05146
O00459,hsa05146
P17612,hsa05146
P22694,hsa05146
P17252,hsa05146
P05771,hsa05146
P05129,hsa05146
Q05397,hsa05146
Q04206,hsa05146
P01137,hsa05146
O60603,hsa05146
O00206,hsa05146
P01375,hsa05146
P07357,hsa05146
P07360,hsa05146
P02748,hsa05146
P42574,hsa05146
Q92569,hsa05146
P12814,hsa05146
O95622,hsa05031
Q8TCU5,hsa05031
O60391,hsa05031
P16220,hsa05031
P15336,hsa05031
P20711,hsa05031
P21728,hsa05031
P01100,hsa05031
P42261,hsa05031
P42262,hsa05031
P42263,hsa05031
P48058,hsa05031
Q05586,hsa05031
Q12879,hsa05031
Q13224,hsa05031
Q14957,hsa05031
O15399,hsa05031
Q13547,hsa05031
Q92769,hsa05031
P05412,hsa05031
P21397,hsa05031
P27338,hsa05031
P18848,hsa05031
Q96LZ3,hsa05031
P17612,hsa05031
P22694,hsa05031
P17252,hsa05031
P05771,hsa05031
P05129,hsa05031
Q01959,hsa05031
P54219,hsa05031
Q05940,hsa05031
P07101,hsa05031
Q13936,hsa05031
Q01668,hsa05031
P0DP23,hsa05031
Q9UQM7,hsa05031
Q13554,hsa05031
Q13557,hsa05031
Q13555,hsa05031
O43741,R-HSA-163680
P54646,R-HSA-163680
Q9UGJ0,R-HSA-163680
Q96RR4,hsa04152
P13569,hsa04152
P50416,hsa04152
P16220,hsa04152
P35348,hsa04152
P13639,hsa04152
P31749,hsa04152
P49327,hsa04152
P42345,hsa04152
Q13085,hsa04152
P04035,hsa04152
O00763,hsa04152
P08069,hsa04152
P01308,hsa04152
P06213,hsa04152
Q9UGJ0,hsa04152
O15530,hsa04152
P42336,hsa04152
P42338,hsa04152
O00329,hsa04152
P27986,hsa04152
O00459,hsa04152
Q9UGI9,hsa04152
P37231,hsa04152
P67775,hsa04152
P62714,hsa04152
Q13131,hsa04152
P54646,hsa04152
Q9Y478,hsa04152
O43741,hsa04152
P54619,hsa04152
P24385,hsa04152
P36956,hsa04152
O75385,hsa04152
Q92569,hsa04152
O14980,R-HSA-141444
O15392,R-HSA-141444
P53350,R-HSA-141444
P62714,R-HSA-141444
P67775,R-HSA-141444
Q7L7X3,R-HSA-141444
Q7Z460,R-HSA-141444
Q96GD4,R-HSA-141444
P01308,R-HSA-977225
P02647,R-HSA-977225
P02649,R-HSA-977225
P02671,R-HSA-977225
P02743,R-HSA-977225
P02766,R-HSA-977225
P02788,R-HSA-977225
P04279,R-HSA-977225
P05067,R-HSA-977225
P06396,R-HSA-977225
P06727,R-HSA-977225
P10997,R-HSA-977225
P37840,R-HSA-977225
