Drug,Protein
DB01351,P31644
DB01595,P31644
DB01198,P31644
DB02530,P31644
DB00801,P31644
DB00371,P31644
DB00349,P31644
DB00237,P31644
DB00683,P31644
DB00404,P31644
DB01353,P31644
DB01437,P31644
DB00273,P31644
DB00690,P31644
DB00842,P31644
DB01215,P31644
DB01589,P31644
DB00818,P31644
DB01559,P31644
DB00418,P31644
DB01544,P31644
DB01068,P31644
DB01154,P31644
DB01174,P31644
DB06716,P31644
DB00897,P31644
DB00312,P31644
DB00628,P31644
DB00829,P31644
DB00475,P31644
DB01588,P31644
DB00849,P31644
DB00628,Q16445
DB01437,Q16445
DB01198,Q16445
DB01351,Q16445
DB02530,Q16445
DB01559,Q16445
DB00231,Q16445
DB00801,Q16445
DB01068,Q16445
DB01215,Q16445
DB00312,Q16445
DB00237,Q16445
DB01589,Q16445
DB00849,Q16445
DB01154,Q16445
DB00273,Q16445
DB00306,Q16445
DB00349,Q16445
DB00842,Q16445
DB00404,Q16445
DB00818,Q16445
DB00186,Q16445
DB01353,Q16445
DB01595,Q16445
DB00371,Q16445
DB01174,Q16445
DB01205,Q16445
DB06716,Q16445
DB00683,Q16445
DB00475,Q16445
DB01558,Q16445
DB00897,Q16445
DB00690,Q16445
DB00418,Q16445
DB00829,Q16445
DB01588,Q16445
DB01544,Q16445
DB00842,P18505
DB00273,P18505
DB02530,P18505
DB00628,P18505
DB01068,P18505
DB00349,P18505
DB01351,P18505
DB01353,P18505
DB00371,P18505
DB01559,P18505
DB00418,P18505
DB00404,P18505
DB01558,P18505
DB01437,P18505
DB00801,P18505
DB00186,P18505
DB00231,P18505
DB01544,P18505
DB01588,P18505
DB00683,P18505
DB01589,P18505
DB00475,P18505
DB00818,P18505
DB01215,P18505
DB01205,P18505
DB06716,P18505
DB00829,P18505
DB00849,P18505
DB01174,P18505
DB00237,P18505
DB00306,P18505
DB00312,P18505
DB01198,P18505
DB01154,P18505
DB01595,P18505
DB00690,P18505
DB00897,P18505
DB01351,P47870
DB01353,P47870
DB00842,P47870
DB00371,P47870
DB01154,P47870
DB00801,P47870
DB02530,P47870
DB00818,P47870
DB00231,P47870
DB00683,P47870
DB01437,P47870
DB00628,P47870
DB00306,P47870
DB00312,P47870
DB01215,P47870
DB00829,P47870
DB01558,P47870
DB00690,P47870
DB00273,P47870
DB00404,P47870
DB00897,P47870
DB00237,P47870
DB01589,P47870
DB06716,P47870
DB01588,P47870
DB01559,P47870
DB01068,P47870
DB00186,P47870
DB00849,P47870
