uniprot,pathway
P00915,R-HSA-1247673
P00915,R-HSA-1475029
P00915,R-HSA-8950505
P00918,R-HSA-1237044
P00918,R-HSA-1247673
P00918,R-HSA-1475029
P01008,R-HSA-140837
P01008,R-HSA-140875
P01008,R-HSA-381426
P01008,R-HSA-8957275
P01009,R-HSA-114608
P01009,R-HSA-204005
P01009,R-HSA-381426
P01009,R-HSA-5694530
P01009,R-HSA-6798695
P01009,R-HSA-8957275
P01011,R-HSA-114608
P01011,R-HSA-6798695
P01019,R-HSA-1989781
P01019,R-HSA-2022377
P01019,R-HSA-375276
P01019,R-HSA-416476
P01019,R-HSA-418594
P01023,R-HSA-114608
P01023,R-HSA-140837
P01023,R-HSA-1474228
P01023,R-HSA-8963896
P01024,R-HSA-173736
P01024,R-HSA-174577
P01024,R-HSA-198933
P01024,R-HSA-375276
P01024,R-HSA-381426
P01024,R-HSA-418594
P01024,R-HSA-6798695
P01024,R-HSA-8957275
P01024,R-HSA-9660826
P01024,R-HSA-977606
P01031,R-HSA-166665
P01031,R-HSA-174577
P01031,R-HSA-375276
P01031,R-HSA-418594
P01031,R-HSA-977606
P01042,R-HSA-114608
P01042,R-HSA-140837
P01042,R-HSA-375276
P01042,R-HSA-381426
P01042,R-HSA-416476
P01042,R-HSA-418594
P01042,R-HSA-8957275
P01100,R-HSA-2559580
P01100,R-HSA-2559582
P01100,R-HSA-2871796
P01100,R-HSA-450341
P01100,R-HSA-6785807
P01100,R-HSA-6796648
P01100,R-HSA-9018519
P01100,R-HSA-9031628
P01100,R-HSA-9634638
P01100,R-HSA-9768919
P01106,R-HSA-1362277
P01106,R-HSA-201556
P01106,R-HSA-2122947
P01106,R-HSA-2173796
P01106,R-HSA-2644606
P01106,R-HSA-2894862
P01106,R-HSA-4411364
P01106,R-HSA-5687128
P01106,R-HSA-5689880
P01106,R-HSA-6785807
P01106,R-HSA-69202
P01106,R-HSA-69656
P01106,R-HSA-8866911
P01106,R-HSA-8951430
P01106,R-HSA-9018519
P01106,R-HSA-9616222
P01106,R-HSA-9818749
P01133,R-HSA-114608
P01133,R-HSA-1227986
P01133,R-HSA-1236382
P01133,R-HSA-1236394
P01133,R-HSA-1250196
P01133,R-HSA-1251932
P01133,R-HSA-1257604
P01133,R-HSA-177929
P01133,R-HSA-179812
P01133,R-HSA-180292
P01133,R-HSA-180336
P01133,R-HSA-182971
P01133,R-HSA-1963640
P01133,R-HSA-1963642
P01133,R-HSA-212718
P01133,R-HSA-2219530
P01133,R-HSA-5637810
P01133,R-HSA-5638303
P01133,R-HSA-5673001
P01133,R-HSA-6785631
P01133,R-HSA-6811558
P01133,R-HSA-8847993
P01133,R-HSA-8856825
P01133,R-HSA-8856828
P01133,R-HSA-8863795
P01133,R-HSA-9009391
P01133,R-HSA-9013507
P01133,R-HSA-9634638
P01133,R-HSA-9664565
P01133,R-HSA-9665348
P01133,R-HSA-9665686
P01137,R-HSA-114608
P01137,R-HSA-168277
P01137,R-HSA-202733
P01137,R-HSA-2129379
P01137,R-HSA-2173788
P01137,R-HSA-2173789
P01137,R-HSA-2173791
P01137,R-HSA-3000170
P01137,R-HSA-3000178
P01137,R-HSA-3304356
P01137,R-HSA-3642279
P01137,R-HSA-3645790
P01137,R-HSA-3656532
P01137,R-HSA-3656535
P01137,R-HSA-381340
