drugbank,uniprot
DB03310,P00390
DB03310,O75715
DB03310,P07203
DB03310,P22352
DB03310,Q96SL4
DB03310,P36969
DB03310,Q8TED1
DB03310,P10620
DB03310,P08263
DB03310,P09210
DB03310,P09488
DB03310,P21266
DB03310,Q03013
DB03310,P46439
DB03310,P09211
DB03310,P30711
DB03310,P0CG29
DB03310,P0CG30
DB03310,O60760
DB03312,O00142
DB03585,Q9NZK7
DB03614,Q99707
DB03615,P07237
DB03619,Q7Z2Z2
DB03619,P09211
DB03766,Q9NQX3
DB03793,P14920
DB03796,P10632
DB03796,P50897
DB03904,P05089
DB03904,P00918
DB04272,Q96RQ9
DB04272,Q9GZU7
DB04272,P40926
DB04272,P15086
DB04272,P07741
DB04272,P15121
DB04272,Q9BY32
DB04272,O75390
DB04272,P12931
DB04272,P07998
DB04272,P12724
DB04339,P09211
DB04657,P31040
DB04703,Q96GD4
DB04743,P35354
DB04743,Q9NZK7
DB04743,P02788
DB04794,P20813
DB04817,P23219
DB04820,P27338
DB04820,P21397
DB04820,P21964
DB04821,P27338
DB04821,P21397
DB04821,P05164
DB04824,O60656
DB04825,Q9H1R3
DB04832,P27338
DB04832,P21397
DB04838,P23141
DB04839,P07288
DB04854,P47989
DB04864,P22303
DB04868,P00519
DB04868,P10721
DB04876,P27487
DB04880,Q14432
DB04898,P00734
DB05015,Q13547
DB05015,Q969S8
DB05015,Q96DB2
DB05015,Q92769
DB05015,O15379
DB05015,P56524
DB05015,Q9UQL6
DB05015,Q9UBN7
DB05015,Q8WUI4
DB05015,Q9BY41
DB05015,Q9UKV0
DB05018,P06280
DB05239,Q02750
DB05260,P31350
DB05294,P00533
DB05294,Q13882
DB05294,Q02763
DB05294,P07949
DB05351,P20648
DB05351,P51164
DB05351,O94760
DB05630,P11387
DB05812,P05093
DB06151,P48637
DB06151,O14920
DB06151,O15111
DB06176,Q13547
DB06176,Q92769
DB06176,P56524
DB06176,Q9UBN7
DB06176,P33527
DB06196,P15144
DB06203,P27487
DB06228,P00742
DB06237,O76074
DB06262,P00439
DB06267,O76074
DB06287,P42345
DB06335,P27487
DB06448,P49354
DB06448,P49356
DB06589,P17948
DB06589,P35968
DB06589,P35916
DB06589,P16234
DB06589,P09619
DB06589,P10721
DB06589,P22607
DB06589,Q08881
DB06595,P17252
DB06595,P35968
DB06595,P10721
DB06595,P16234
DB06595,P09619
DB06595,P36888
DB06603,Q13547
DB06603,Q969S8
DB06603,Q96DB2
DB06603,Q92769
DB06603,O15379
DB06603,P56524
DB06603,Q9UQL6
DB06603,Q9UBN7
DB06603,Q8WUI4
DB06603,Q9BY41
DB06603,Q9UKV0
DB06605,P00742
DB06616,P11274
DB06616,P00519
DB06616,P07948
DB06616,P08631
DB06616,P12931
DB06616,P24941
DB06616,Q02750
DB06616,P36507
DB06616,Q9Y2U5
DB06616,Q13555
DB06626,P17948
DB06626,P35968
DB06626,P35916
DB06654,P27338
DB06689,P00748
DB06695,P00734
DB06725,P23219
DB06725,P35354
DB06736,P35354
DB06736,P23219
DB06751,P27815
DB06757,P50213
DB06757,P51553
