drugbank,disease_mesh
DB12127,MESH:D001170
DB12127,MESH:D018461
DB12127,MESH:D004760
DB12127,MESH:D006192
DB12127,MESH:D010033
DB12127,MESH:D011512
DB12127,MESH:D001850
DB12127,MESH:D012480
DB12127,MESH:D013290
DB12127,MESH:D018805
DB12127,MESH:D004696
DB12127,MESH:D014069
DB12127,MESH:D000151
DB12127,MESH:D004927
DB12127,MESH:D003015
DB12127,MESH:D018410
DB12127,MESH:D014552
DB12127,MESH:D013203
DB12127,MESH:D000038
DB12127,MESH:D010538
DB14488,MESH:D007674
DB00187,MESH:D017202
DB00187,MESH:D006973
DB00187,MESH:D013375
DB00187,MESH:D001145
DB00187,MESH:D013575
DB00187,MESH:D007022
DB00187,MESH:D011183
DB00187,MESH:D013610
DB00187,MESH:D013617
DB00187,MESH:D006323
DB09081,MESH:D006943
DB01014,MESH:D003093
DB01014,MESH:D004239
DB01014,MESH:D003092
DB13682,MESH:D014552
DB13682,MESH:D013203
DB13682,MESH:D004697
DB13682,MESH:D011552
DB13682,MESH:D008586
DB13682,MESH:D010019
DB13682,MESH:D018410
DB09056,MESH:D060585
DB06230,MESH:D000437
DB06230,MESH:D056912
DB09031,MESH:D014353
DB09031,MESH:D016773
DB09031,MESH:D007896
DB09031,MESH:D007898
DB14542,MESH:D013224
DB09212,MESH:D010146
DB09212,MESH:D001416
DB09212,MESH:D001168
DB01162,MESH:D014555
DB01162,MESH:D006973
DB01162,MESH:D011471
DB01162,MESH:D014570
DB01162,MESH:D011470
DB01162,MESH:D009389
DB01162,MESH:D016055
DB01162,MESH:D053201
DB01162,MESH:D053448
DB01162,MESH:D002295
DB01162,MESH:D053202
DB09087,MESH:D009410
DB09087,MESH:D050197
DB09087,MESH:D004195
DB11239,MESH:D009410
DB11239,MESH:D050197
DB11239,MESH:D004195
DB00507,MESH:D007896
DB00192,MESH:D017180
DB06410,MESH:D012175
DB01320,MESH:D012640
DB01320,MESH:D013226
DB01320,MESH:D017180
DB01320,MESH:D004830
DB01084,MESH:D007035
DB01084,MESH:D001424
DB09242,MESH:D005315
DB09242,MESH:D000787
DB09242,MESH:D013610
DB09242,MESH:D018487
DB09242,MESH:D006332
DB09242,MESH:D001145
DB09242,MESH:D018149
DB09242,MESH:D006973
DB09488,MESH:D014581
DB00294,MESH:D004412
DB00542,MESH:D004719
DB00542,MESH:D006333
DB00542,MESH:D006973
DB00542,MESH:D002311
DB00542,MESH:D006943
DB00542,MESH:D009400
DB00542,MESH:D005923
DB00542,MESH:D007676
DB00542,MESH:D007674
DB00542,MESH:D020257
DB00542,MESH:D018487
DB00542,MESH:D050197
DB00542,MESH:D024821
DB00542,MESH:D003928
DB00542,MESH:D015431
DB00542,MESH:D057772
DB00542,MESH:D009374
DB00542,MESH:D051437
DB00542,MESH:D017202
DB00542,MESH:D014511
DB00542,MESH:D005921
DB00542,MESH:D006978
DB00542,MESH:D009404
DB00542,MESH:D015428
DB00542,MESH:D058426
DB00542,MESH:D002277
DB00542,MESH:D018149
DB00542,MESH:D000419
DB00542,MESH:D017379
DB00542,MESH:D006977
DB00542,MESH:D001281
DB00542,MESH:D005355
DB00542,MESH:D054058
DB00542,MESH:D009389
DB00542,MESH:D011507
DB00542,MESH:D006946
DB00542,MESH:D007333
DB00542,MESH:D006984
DB01158,MESH:D013610
DB01158,MESH:D017180
DB01158,MESH:D014693
DB00491,MESH:D006943
DB01025,MESH:D055371
DB01025,MESH:D056486
DB12313,MESH:D012772
DB00268,MESH:D020734
DB00268,MESH:D019970
DB00268,MESH:D002375
DB00268,MESH:D010300
DB00268,MESH:D012148
DB00268,MESH:D051346
DB09097,MESH:D006966
DB09059,MESH:D007752
DB09059,MESH:D012640
DB13228,MESH:D007022
DB01106,MESH:D003233
DB01106,MESH:D006930
DB01106,MESH:D009437
DB01106,MESH:D001424
DB01106,MESH:D012220
DB05271,MESH:D012148
DB05271,MESH:D010300
DB00346,MESH:D011472
DB00346,MESH:D011469
DB00346,MESH:D053448
DB00346,MESH:D014555
DB00346,MESH:D016055
DB00346,MESH:D011470
DB00346,MESH:D014570
DB05057,MESH:D056486
DB05057,MESH:D007683
DB05057,MESH:D007674
DB05057,MESH:D006331
DB05057,MESH:D009202
DB05057,MESH:D009395
DB04864,MESH:D009410
DB04864,MESH:D008569
DB04864,MESH:D012640
DB04864,MESH:D003092
DB04864,MESH:D007249
DB04864,MESH:D000544
DB04864,MESH:D007859
DB04864,MESH:D020258
DB04864,MESH:D064420
DB04864,MESH:D062025
DB01149,MESH:D003865
DB01149,MESH:D001480
DB01149,MESH:D019970
DB01149,MESH:D001008
DB01149,MESH:D017109
DB01149,MESH:D001714
DB01149,MESH:D003866
DB00519,MESH:D015431
DB00519,MESH:D011507
DB00519,MESH:D051437
DB00519,MESH:D000419
DB00519,MESH:D017202
DB00519,MESH:D018487
DB00519,MESH:D003329
DB00519,MESH:D021081
DB00519,MESH:D006333
DB00519,MESH:D015427
DB00519,MESH:D006973
DB00519,MESH:D009203
DB00519,MESH:D009069
DB00519,MESH:D008569
DB00519,MESH:D009395
DB00519,MESH:D006974
DB00519,MESH:D019636
DB00519,MESH:D017379
DB00519,MESH:D005923
DB00519,MESH:D002312
DB01348,MESH:D006973
DB11656,MESH:D013276
DB11656,MESH:D007410
DB11656,MESH:D005764
DB11656,MESH:D013280
DB11656,MESH:D013272
DB11656,MESH:D013274
DB00751,MESH:D012221
DB00751,MESH:D004802
DB00751,MESH:D012912
DB00751,MESH:D006255
DB00751,MESH:D012220
DB00978,MESH:D003556
DB01416,MESH:D003371
DB01416,MESH:D014552
DB01416,MESH:D005334
DB00299,MESH:D006509
DB01128,MESH:D064129
DB01128,MESH:D001943
DB01128,MESH:D011471
DB09238,MESH:D017379
DB09238,MESH:D006973
DB00447,MESH:D014069
DB00447,MESH:D011704
DB00447,MESH:D012874
DB00447,MESH:D013290
DB00447,MESH:D010612
DB00771,MESH:D003424
DB02300,MESH:D003093
DB02300,MESH:D007057
DB02300,MESH:D011565
DB00885,MESH:D003233
DB00885,MESH:D004342
DB00885,MESH:D006967
DB00885,MESH:D014839
DB00885,MESH:D009325
DB00885,MESH:D010523
DB13851,MESH:D008288
DB06608,MESH:D007896
DB06736,MESH:D017116
DB06736,MESH:D001172
DB06736,MESH:D010146
DB00441,MESH:D008175
DB00441,MESH:D000860
DB00441,MESH:D011471
DB00441,MESH:D020244
DB00441,MESH:D009364
DB00441,MESH:D018237
DB00441,MESH:D009362
DB00441,MESH:D016399
DB00441,MESH:D055752
DB00441,MESH:D008113
DB00441,MESH:D008228
DB00441,MESH:D018287
DB00441,MESH:D006689
DB00441,MESH:D009382
DB00441,MESH:D009374
DB00441,MESH:D010190
DB00441,MESH:D010051
DB00441,MESH:D009369
DB00441,MESH:D016403
DB00441,MESH:D002289
DB00441,MESH:D002295
DB00441,MESH:D015179
DB00441,MESH:D002294
DB00441,MESH:D009101
DB00441,MESH:D001749
DB00441,MESH:D001661
DB00441,MESH:D002292
DB00441,MESH:D006528
DB00441,MESH:D064726
DB00441,MESH:D021441
DB00441,MESH:D008654
DB00441,MESH:D000230
DB00441,MESH:D001943
DB00441,MESH:D002583
DB00441,MESH:D002277
DB00990,MESH:D001943
DB00222,MESH:D015431
DB00222,MESH:D010182
DB11263,MESH:D000707
DB11263,MESH:D001930
DB11263,MESH:D006984
DB11263,MESH:D033461
DB11263,MESH:D056486
DB11263,MESH:D004195
DB11263,MESH:D004769
DB11263,MESH:D004719
DB11263,MESH:D006332
DB11263,MESH:D007674
DB11263,MESH:D009069
DB11263,MESH:D009374
DB11263,MESH:D055370
DB11263,MESH:D006331
DB11742,MESH:D012220
DB11742,MESH:D014581
DB01105,MESH:D005234
DB01105,MESH:D009765
DB01105,MESH:D007333
DB00691,MESH:D006973
DB00691,MESH:D002545
DB00185,MESH:D000647
DB06725,MESH:D017116
DB06725,MESH:D001168
DB06725,MESH:D020250
DB06725,MESH:D010149
DB06595,MESH:D009196
DB06595,MESH:D015470
DB00419,MESH:D005776
DB00419,MESH:D015658
DB00419,MESH:D003550
DB09236,MESH:D050197
DB09236,MESH:D006984
DB09236,MESH:D009203
DB09236,MESH:D017379
DB09236,MESH:D006973
DB00528,MESH:D006973
DB00528,MESH:D007674
DB00757,MESH:D014839
