uniprot,uniprot2
P14920,Q9BYV1
P48506,Q9BYV1
Q13651,P05112
P13500,P05112
O00626,P05112
P29460,P05112
P09601,P05112
P14784,P05112
Q16539,P05112
P60568,P05113
P14784,P05113
P19235,P05113
Q13651,P05113
Q9Y2X8,P63208
P46527,P63208
Q16526,P63208
P49427,P63208
P25787,P63208
Q9H469,P63208
O14965,P63208
P62877,P63208
Q92830,P63208
P25963,P63208
P08151,P63208
O60907,P63208
Q9UKT4,P63208
P24385,P63208
P01730,P63208
P62714,P63208
Q14145,P63208
P62318,O75694
P57740,O75694
Q9UKV8,O75694
Q9NRG9,O75694
P35557,O75694
P19838,P04150
O00399,P04150
Q16539,P04150
P53041,P04150
Q02790,P04150
Q15654,P04150
Q9HD89,P04150
P28482,P04150
Q9UNE7,P04150
Q13155,P54136
O94941,P40692
P07992,P40692
Q14565,P40692
P35244,P40692
P14920,Q08426
Q92947,Q08426
Q9BYV1,Q08426
O14734,Q08426
Q13011,Q08426
P55809,Q08426
Q99714,Q08426
Q9NUI1,Q08426
P62877,Q96SW2
Q9UJQ4,Q96SW2
P46527,Q96SW2
P00750,P04196
O43396,Q05086
P25787,Q05086
P51665,Q05086
P25789,Q05086
P48556,Q05086
P49815,Q05086
P25788,Q05086
P43686,Q05086
Q9NQ88,Q16877
Q9HB96,Q14469
Q92830,Q14469
Q96EB6,Q14469
P35250,Q14469
P16520,P11488
Q969R8,Q8WTW4
Q9Y5K8,Q8WTW4
O15264,Q9HAV0
P29992,Q9HAV0
Q16539,Q9HAV0
P28482,Q9HAV0
P53778,Q9HAV0
P11488,Q9HAV0
Q02127,P11172
Q05639,Q969K4
Q9Y5J1,O43818
P42285,O43818
Q9NW13,O43818
Q9NQT4,O43818
Q9NY12,O43818
P22087,O43818
Q13601,O43818
P60228,O60739
O15371,O60739
P10916,P63316
Q9UMW8,P19525
Q08426,P19525
O14965,Q9UPY8
P35244,P43246
P07992,P43246
P40692,P43246
P53778,O43639
Q15768,O43639
Q13094,O43639
P14210,O43639
P19105,O43639
O15264,O43639
O15145,O43639
Q16539,O43639
P98172,O43639
O00401,O43639
P27169,P04114
P50120,P04114
P02749,P04114
P11597,P04114
P02656,P04114
P62877,Q9C086
Q9H4B7,Q8NG68
Q7RTV0,Q9Y3B4
O60306,Q9Y3B4
