drugbank,disease_mesh
DB00278,MESH:D016063
DB00278,MESH:D002543
DB00278,MESH:D020300
DB00278,MESH:D019106
DB00278,MESH:D006470
DB00278,MESH:D013927
DB00278,MESH:D005734
DB01367,MESH:D006212
DB01367,MESH:D013981
DB01367,MESH:D007024
DB01367,MESH:D011605
DB01367,MESH:D003221
DB01367,MESH:D020820
DB01250,MESH:D001416
DB01250,MESH:D006973
DB01250,MESH:D007319
DB01250,MESH:D007674
DB01250,MESH:D010195
DB11326,MESH:D000014
DB11326,MESH:D004487
DB11326,MESH:D001848
DB11326,MESH:D006130
DB11326,MESH:D064420
DB11326,MESH:D064793
DB11326,MESH:D019465
DB11326,MESH:D020964
DB00469,MESH:D013262
DB00469,MESH:D006505
DB00469,MESH:D002779
DB00469,MESH:D004342
DB00469,MESH:D005767
DB00469,MESH:D003875
DB00469,MESH:D014581
DB00469,MESH:D002761
DB00469,MESH:D041781
DB00469,MESH:D008107
DB00469,MESH:D056486
DB01245,MESH:D010243
DB01245,MESH:D012640
DB09543,MESH:D009395
DB09543,MESH:D009336
DB09543,MESH:D009135
DB09543,MESH:D017449
DB09487,MESH:D004417
DB09487,MESH:D006261
DB09487,MESH:D012640
DB09487,MESH:D019547
DB09487,MESH:D004244
DB09487,MESH:D009325
DB11159,MESH:D015431
DB11159,MESH:D053627
DB11159,MESH:D009845
DB11085,MESH:D002869
DB11085,MESH:D012640
DB11085,MESH:D009784
DB11085,MESH:D006965
DB11085,MESH:D011041
DB11085,MESH:D013274
DB11085,MESH:D048629
DB00824,MESH:D009325
DB00824,MESH:D015746
DB00824,MESH:D006261
DB00824,MESH:D014839
DB00824,MESH:D012893
DB06712,MESH:D007022
DB01130,MESH:D001284
DB01130,MESH:D012871
DB01130,MESH:D003877
DB12127,MESH:D002779
DB12127,MESH:D009202
DB12127,MESH:D003875
DB12127,MESH:D056486
DB12127,MESH:D014581
DB12127,MESH:D007970
DB12127,MESH:D064420
DB12127,MESH:D000743
DB12127,MESH:D004342
DB12127,MESH:D008107
DB12127,MESH:D003967
DB00187,MESH:D010149
DB00187,MESH:D001919
DB00187,MESH:D014839
DB00187,MESH:D009325
DB00187,MESH:D009846
DB00187,MESH:D007022
DB00187,MESH:D006323
DB14188,MESH:D017449
DB14188,MESH:D003877
DB14175,MESH:D017449
DB00251,MESH:D016464
DB00251,MESH:D008064
DB14084,MESH:D000014
DB14084,MESH:D019457
DB14084,MESH:D013733
DB14084,MESH:D011469
DB14084,MESH:D015431
DB09156,MESH:D010146
DB09156,MESH:D013921
DB09156,MESH:D000860
DB09156,MESH:D002545
DB09156,MESH:D013262
DB09156,MESH:D007674
DB09156,MESH:D012640
DB09156,MESH:D019575
DB09156,MESH:D006331
DB09156,MESH:D014693
DB09156,MESH:D009325
DB09156,MESH:D058186
DB09156,MESH:D006323
DB09156,MESH:D014581
DB09156,MESH:D004417
DB13981,MESH:D000152
DB13981,MESH:D006261
DB13981,MESH:D019964
DB13981,MESH:D004244
DB13981,MESH:D015430
DB01014,MESH:D011657
DB01014,MESH:D006261
DB01014,MESH:D009205
DB01014,MESH:D053609
DB11219,MESH:D011297
DB13682,MESH:D010490
DB13682,MESH:D000014
DB13682,MESH:D006330
DB13682,MESH:D020964
DB06230,MESH:D005221
DB06230,MESH:D016584
DB06230,MESH:D004244
DB06230,MESH:D007319
DB06230,MESH:D009325
DB14199,MESH:D012883
DB14199,MESH:D005148
DB14199,MESH:D017449
DB14199,MESH:D004485
DB14199,MESH:D006967
DB14199,MESH:D003877
DB14199,MESH:D009783
DB14199,MESH:D006229
DB14542,MESH:D009325
DB14542,MESH:D014839
DB14542,MESH:D014202
DB14542,MESH:D010292
DB09212,MESH:D004213
DB09212,MESH:D012640
DB09212,MESH:D009202
DB09212,MESH:D001072
DB09212,MESH:D003072
DB09212,MESH:D013276
DB01162,MESH:D003128
DB01162,MESH:D007022
DB01162,MESH:D007431
DB01162,MESH:D004244
DB01162,MESH:D001247
DB01162,MESH:D004487
DB01162,MESH:D007024
DB11239,MESH:D011297
DB11239,MESH:D011041
DB09087,MESH:D011297
DB09087,MESH:D011041
DB11278,MESH:D015878
DB11278,MESH:D003128
DB06410,MESH:D006934
