uniprot,disease_mesh
P01588,MESH:D000743
P01588,MESH:D004681
P01588,MESH:D058186
P01588,MESH:D011115
P01588,MESH:D012513
P01588,MESH:D017180
P01588,MESH:D006463
P01588,MESH:D002493
P01588,MESH:D009202
P01588,MESH:D003324
P19235,MESH:D009410
P04626,MESH:D001943
O14944,MESH:D010051
P03372,MESH:D009361
Q92731,MESH:D001943
Q92731,MESH:D008527
Q92731,MESH:D011471
P11474,MESH:D008659
P08709,MESH:D011183
P08709,MESH:D020199
P08709,MESH:D020198
P08709,MESH:D004195
P08709,MESH:D020300
P08709,MESH:D006417
P08709,MESH:D002543
P08709,MESH:D006470
P00451,MESH:C536392
O00519,MESH:D012640
P07148,MESH:D007683
P49327,MESH:D008080
P22830,MESH:D046351
P09038,MESH:D009410
P09038,MESH:D012640
P09038,MESH:D014947
P09038,MESH:D017202
P09038,MESH:D020520
P09038,MESH:D008103
P09038,MESH:D005910
P09038,MESH:D001930
P09038,MESH:D005911
P09038,MESH:D007249
P21781,MESH:D055370
P55075,MESH:D008850
P78333,MESH:D000419
P78333,MESH:D009404
P17948,MESH:D056486
P17948,MESH:D002292
P31513,MESH:D056486
P31513,MESH:D011125
P15328,MESH:D010051
P01100,MESH:D020258
P53539,MESH:D019970
P42345,MESH:D006529
P01225,MESH:D007006
P10253,MESH:D006009
P34059,MESH:D007249
P04406,MESH:D009336
P23771,MESH:D004802
P23771,MESH:D008679
P43694,MESH:D009203
P01275,MESH:D006943
P01275,MESH:D001919
P01275,MESH:D006949
P01275,MESH:D007035
P01275,MESH:D006331
P01275,MESH:D013272
P01275,MESH:D003128
P01275,MESH:D006948
P01275,MESH:D011041
P01275,MESH:D009765
P01275,MESH:D003092
P01275,MESH:D014652
P01275,MESH:D007022
P01275,MESH:D006333
P30793,MESH:D004409
Q9UK05,MESH:D050723
P39905,MESH:D019636
P39905,MESH:D010300
P39905,MESH:D009461
P39905,MESH:D006816
P39905,MESH:D020734
P39905,MESH:D004409
P39905,MESH:D019970
P39905,MESH:D012162
P39905,MESH:D010302
P55789,MESH:D017114
P55789,MESH:D002252
P55789,MESH:D058186
P01241,MESH:D006130
P01241,MESH:D009133
P01241,MESH:D015431
P01241,MESH:D002318
P01241,MESH:D014424
P01241,MESH:D008106
P01286,MESH:D011654
Q92847,MESH:D000437
P06280,MESH:D000794
P48506,MESH:D002471
P48506,MESH:D003924
P48507,MESH:D003924
P01148,MESH:D000310
P01148,MESH:D001919
P01148,MESH:D007006
P01148,MESH:D007248
Q13304,MESH:D020520
Q99527,MESH:D008113
P07203,MESH:D010300
P07203,MESH:D002545
P07203,MESH:D000084462
Q14451,MESH:D001943
P42261,MESH:D019970
P28799,MESH:D009410
Q05586,MESH:D010146
Q14833,MESH:D009410
P09341,MESH:D012130
P19875,MESH:D001862
P07492,MESH:D000647
P30101,MESH:D009369
P49841,MESH:D009133
P00390,MESH:D020734
O15217,MESH:D001161
P21266,MESH:D056486
P05546,MESH:D002341
O43612,MESH:D010146
P42858,MESH:D020149
P14210,MESH:D017202
P14210,MESH:D010146
P14210,MESH:D010300
P14210,MESH:D009374
