drugbank,uniprot
DB09220,O60706
DB09225,P23975
DB09225,P31645
DB09270,P56181
DB09401,P10415
DB09401,Q07817
DB09401,Q07820
DB09418,Q92911
DB09462,P09466
DB09462,P84077
DB09517,P02792
DB09517,P69905
DB09517,P68871
DB09536,Q9UEW3
DB11093,P27797
DB11093,O75340
DB11093,P30626
DB11093,Q99653
DB11093,P09486
DB11093,P27824
DB11093,P35556
DB11093,P04271
DB11093,O14958
DB11093,Q9UBV8
DB11093,P06703
DB11093,P13693
DB11093,O75838
DB11093,Q99584
DB11093,P31415
DB11093,Q02818
DB11093,P80303
DB11093,P0DP23
DB11093,Q75N90
DB11093,P28676
DB11093,P22676
DB11093,Q96L12
DB11093,P62166
DB11132,Q9UEW3
DB11157,P35908
DB11157,Q9UQF2
DB11157,Q99456
DB11186,Q99720
DB11328,Q9UNN8
DB11348,P27797
DB11348,O75340
DB11348,P30626
DB11348,Q99653
DB11348,P09486
DB11348,P27824
DB11348,P35556
DB11348,P04271
DB11348,O14958
DB11348,Q9UBV8
DB11348,P06703
DB11348,P13693
DB11348,O75838
DB11348,Q99584
DB11348,P31415
DB11348,Q02818
DB11348,P80303
DB11348,P0DP23
DB11348,Q75N90
DB11348,P28676
DB11348,P22676
DB11348,Q96L12
DB11348,P62166
DB11359,P02768
DB11560,Q96S37
DB11560,Q9NSA0
DB11577,P35869
DB11581,P10415
DB11590,Q9UPY5
DB11590,P54710
DB11611,P20701
DB11641,P07437
DB11644,P02766
DB11672,O15440
DB11718,P24385
DB11823,P13639
DB11823,P23560
DB11827,P31639
DB11942,O14980
DB11967,P05231
DB11967,P01375
DB11967,P01584
DB11995,Q9UNQ0
DB11995,Q8TCC7
DB12010,Q99808
DB12010,Q8NI60
DB12010,Q13188
DB12010,Q96D53
DB12010,P07498
DB12010,Q7Z460
DB12010,Q9Y478
DB12010,O43741
DB12010,P54619
DB12010,Q9UGJ0
DB12010,Q9UGI9
DB12161,Q05940
DB12328,P35869
DB12532,P01350
DB13257,P69905
DB13257,P02786
DB13257,Q9UP52
DB13615,O00206
DB13615,Q9HC29
DB13751,P01375
DB13751,Q00653
DB13751,P19838
DB13800,P0DP23
DB13800,P31415
DB13800,P22676
DB13949,P02786
DB13952,Q15596
DB13952,P00846
DB13952,Q14457
DB13953,Q15596
DB13953,P00846
DB13953,Q14457
DB13954,Q15596
DB13954,P00846
DB13954,Q14457
DB13955,Q15596
DB13955,P00846
DB13955,Q14457
DB13956,Q15596
DB13956,P00846
DB13956,Q14457
DB13967,P02768
DB13995,P02792
DB13995,P69905
DB13995,P68871
DB14481,P27797
DB14481,O75340
DB14481,P30626
DB14481,Q99653
DB14481,P09486
DB14481,P27824
DB14481,P35556
DB14481,P04271
DB14481,O14958
DB14481,Q9UBV8
DB14481,P06703
DB14481,P13693
DB14481,O75838
DB14481,Q99584
DB14481,P31415
DB14481,Q02818
DB14481,P80303
DB14481,P0DP23
DB14481,Q75N90
DB14481,P28676
DB14481,P22676
DB14481,Q96L12
DB14481,P62166
DB14487,P68104
DB14487,P49411
DB14487,P08700
DB14487,P02795
DB14487,O14618
DB14487,P04279
DB14487,O15304
DB14487,P01308
DB14487,P46939
DB14487,P05109
DB14487,P06702
DB14487,O15350
DB14487,P29034
DB14487,P04637
DB14487,P25713
DB14487,O75340
DB14487,Q8N907
DB14487,P04731
DB14487,P04217
DB14487,P01023
DB14487,P02765
DB14487,P02743
DB14487,P02647
DB14487,P02652
DB14487,P06727
DB14487,Q0VD83
DB14487,P02649
DB14487,O14791
DB14487,P02746
DB14487,P02747
DB14487,P01024
DB14487,P0C0L5
DB14487,P04003
DB14487,P20851
DB14487,P01031
DB14487,P07357
DB14487,P07360
DB14487,P08603
DB14487,P10909
DB14487,P22792
DB14487,P81605
DB14487,P15924
DB14487,O75636
DB14487,P02671
DB14487,P02751
DB14487,P06396
DB14487,P69905
DB14487,P68871
DB14487,P00739
DB14487,P35858
DB14487,Q14624
DB14487,P01591
DB14487,P14923
DB14487,P01042
DB14487,P04264
DB14487,P13645
DB14487,P02533
DB14487,P08779
DB14487,P35908
DB14487,P13647
DB14487,P02538
DB14487,P35527
DB14487,P31151
DB14487,P49908
DB14487,P01009
DB14487,P01011
DB14487,P29622
DB14487,P08185
DB14487,P05546
DB14487,P02787
DB14487,P02766
DB14487,P04004
DB14487,P51693
DB14487,Q06481
DB14487,P05067
DB14488,P02786
DB14488,Q9NZD4
DB14488,P69905
DB14488,P02787
DB14489,P02786
DB14489,Q9NZD4
DB14489,P69905
DB14489,P02787
DB14490,P02786
DB14490,Q9NZD4
DB14490,P69905
DB14490,P02787
DB14491,P02786
DB14491,Q9NZD4
DB14491,P69905
DB14491,P02787
DB14517,P02787
DB14517,P05067
DB14520,P02786
DB14533,P68104
DB14533,P49411
DB14533,P08700
DB14533,P02795
DB14533,O14618
DB14533,P04279
DB14533,O15304
DB14533,P01308
DB14533,P46939
DB14533,P05109
DB14533,P06702
DB14533,O15350
DB14533,P29034
DB14533,P04637
DB14533,P25713
DB14533,P04731
DB14533,P01023
DB14533,P02765
DB14533,P02647
DB14533,Q0VD83
DB14533,P02649
DB14533,O14791
DB14533,P02746
DB14533,P02747
DB14533,P01024
DB14533,P0C0L5
DB14533,P04003
DB14533,P20851
DB14533,P01031
DB14533,P08603
DB14533,P10909
DB14533,P22792
DB14533,P81605
DB14533,P02671
DB14533,P02751
DB14533,P69905
DB14533,P68871
DB14533,P00738
DB14533,P35858
DB14533,Q14624
DB14533,P01591
DB14533,P01042
DB14533,P35527
DB14533,P31151
DB14533,P49908
DB14533,P01009
DB14533,P01011
DB14533,P08185
DB14533,P05546
DB14533,P02787
DB14533,P02766
DB14533,P04004
DB14533,P51693
DB14533,Q06481
DB14533,P05067
DB14533,P04114
DB14533,P02790
DB14533,P04196
DB14533,Q02383
DB14539,P04083
DB14540,P04083
DB14541,P04083
DB14542,P04083
DB14543,P04083
DB14544,P04083
DB14631,P04083
DB14649,P04083
DB14669,P04083
DB14754,Q01959
DB14754,P23975
DB14975,P69905
DB15598,P05106
DB15598,P49281
DB15617,P69905
DB15617,P02786
DB15617,Q9UP52
DB00157,P48448
DB00583,P43155
DB01065,Q92753
DB01593,P01019
DB03147,P16435
DB04348,P19835
DB09116,P48448
DB09130,P01019
DB11093,Q9ULB1
DB11348,Q9ULB1
DB12010,P57078
DB14481,Q9ULB1
DB14487,P01019
