drugbank,uniprot
DB01239,P28221
DB01239,P41595
DB01239,P28335
DB01239,Q13639
DB01239,P50406
DB01239,P34969
DB01240,Q9H244
DB01240,P43119
DB01242,P28223
DB01242,P41595
DB01242,P28335
DB01246,P35367
DB01253,P35348
DB01267,P28223
DB01267,P14416
DB01267,P35367
DB01267,P35348
DB01267,P35368
DB01267,P21917
DB01267,P28221
DB01267,P35462
DB01267,P28335
DB01267,P08913
DB01267,P18089
DB01267,P18825
DB01267,P08908
DB01267,P21728
DB01267,P34969
DB01274,P07550
DB01278,P30988
DB01278,O60894
DB01278,O60895
DB01278,O60896
DB01282,P30559
DB01284,Q01718
DB01288,P07550
DB01288,P08588
DB01288,P13945
DB01291,P07550
DB01291,P08588
DB01297,P08588
DB01303,P29274
DB01303,P30542
DB01336,P08172
DB01337,P08172
DB01337,P20309
DB01338,P08172
DB01338,P20309
DB01359,P08588
DB01359,P07550
DB01359,P08908
DB01359,P28222
DB01364,P35348
DB01364,P08588
DB01364,P07550
DB01365,P35348
DB01365,P35368
DB01365,P25100
DB01365,P08913
DB01365,P18089
DB01365,P18825
DB01365,P08588
DB01365,P07550
DB01365,P13945
DB01366,P07550
DB01392,P08913
DB01392,P18089
DB01392,P18825
DB01392,P08908
DB01392,P28222
DB01392,P28221
DB01392,P14416
DB01392,P35462
DB01392,P28223
DB01392,P28335
DB01392,P41595
DB01403,P14416
DB01403,P21728
DB01403,P21918
DB01403,P35462
DB01403,P21917
DB01403,P28223
DB01403,P28335
DB01403,P35367
DB01403,P11229
DB01403,P08172
DB01403,P20309
DB01403,P08173
DB01403,P08912
DB01403,P35348
DB01403,P35368
DB01403,P25100
DB01403,P08913
DB01403,P18089
DB01403,P18825
DB01406,P30968
DB01407,P07550
DB01407,P08588
DB01407,P13945
DB01409,P20309
DB01409,P11229
DB01409,P08172
DB01409,P08173
DB01409,P08912
DB01452,P35372
DB01452,P41145
DB01452,P41143
DB01576,P35368
DB01576,P35348
DB01576,P25100
DB01576,P08913
DB01576,P18089
DB01576,P18825
DB01577,P08913
DB01577,P18089
DB01577,P18825
DB01579,P35348
DB01579,P35368
DB01580,P08588
DB01580,P07550
DB01580,P13945
DB01591,P20309
DB01591,P11229
DB01591,P08172
DB01591,P08173
DB01591,P08912
DB01593,P46663
DB01608,P21728
DB01608,P08913
DB01608,P35368
DB01616,P08908
DB01618,P14416
DB01618,P08908
DB01618,P28223
DB01618,P11229
DB01619,P35367
DB01620,P35367
DB01620,Q9H3N8
DB01621,P14416
DB01621,P21728
DB01621,P28223
DB01621,P08908
DB01623,P14416
DB01623,P21728
DB01623,P28223
DB01624,P21728
DB01624,P21918
DB01624,P14416
DB01624,P35348
DB01624,P08913
DB01624,P28223
DB01624,P35367
DB01625,P20309
DB01625,P08173
DB01956,Q9UBS5
DB02530,Q9UBS5
DB02530,O75899
DB02638,P30518
DB02638,P47901
DB02638,P37288
DB02659,Q8TDU6
DB02772,Q8TE23
DB03128,P11229
DB03128,P08172
DB03128,P20309
