drugbank,uniprot
DB00421,Q9UF02
DB00421,Q9BXT2
DB00421,P62955
DB00421,Q8WXS5
DB00421,P54289
DB00421,Q7Z3S7
DB00421,Q13936
DB00421,Q01668
DB00421,O60840
DB00421,Q13698
DB00421,Q02641
DB00421,Q08289
DB00421,P54284
DB00421,O00305
DB00421,Q00975
DB00421,O00555
DB00421,Q15878
DB00421,O43497
DB00421,O95180
DB00421,Q9P0X4
DB00425,P14867
DB00425,P47869
DB00425,P34903
DB00425,P18507
DB00431,P18505
DB00431,P23415
DB00431,O75311
DB00431,P48167
DB00431,P28472
DB00431,P24046
DB00436,Q12791
DB00454,Q05586
DB00454,Q13224
DB00454,Q12879
DB00454,Q14957
DB00454,O15399
DB00455,Q12809
DB00457,Q12809
DB00458,Q9NZV8
DB00458,Q9UK17
DB00458,Q12809
DB00458,O95259
DB00468,O15554
DB00472,Q15822
DB00472,P32297
DB00472,P30926
DB00472,Q12809
DB00474,P14867
DB00475,P14867
DB00475,P47869
DB00475,P34903
DB00475,P48169
DB00475,P31644
DB00475,Q16445
DB00475,P18505
DB00475,P47870
DB00475,P28472
DB00475,O14764
DB00475,P78334
DB00475,Q8N1C3
DB00475,P18507
DB00475,Q99928
DB00475,Q9UN88
DB00477,Q12809
DB00483,Q15822
DB00489,Q12809
DB00502,Q13224
DB00514,Q15822
DB00514,Q8TCU5
DB00514,P32297
DB00514,P43681
DB00514,P30926
DB00514,P17787
DB00514,P36544
DB00527,Q9Y5Y9
DB00527,Q14524
DB00528,Q06432
DB00532,Q14524
DB00537,Q12809
DB00543,P14867
DB00543,P46098
DB00543,P47869
DB00543,P34903
DB00543,P48169
DB00543,P31644
DB00543,Q16445
DB00543,P18505
DB00543,P47870
DB00543,P28472
DB00543,O14764
DB00543,P78334
DB00543,Q8N1C3
DB00543,P18507
DB00543,Q99928
DB00543,Q9UN88
DB00555,Q15878
DB00555,P35498
DB00555,Q9Y5Y9
DB00555,Q9UI33
DB00555,Q99250
DB00555,Q9NY46
DB00555,P35499
DB00555,Q14524
DB00555,Q01118
DB00555,Q9UQD0
DB00555,Q15858
DB00555,P14867
DB00555,P47869
DB00555,P34903
DB00555,P48169
DB00555,P31644
DB00555,Q16445
DB00555,P18505
DB00555,P47870
DB00555,P28472
DB00555,O14764
DB00555,P78334
DB00555,Q8N1C3
DB00555,P18507
DB00555,Q99928
DB00555,Q9UN88
DB00555,P02708
DB00555,P46098
DB00555,P42261
DB00557,Q12809
DB00561,O14649
DB00561,Q9NPC2
DB00564,P35498
DB00564,Q9Y5Y9
DB00564,Q9UI33
DB00564,Q99250
DB00564,Q9NY46
DB00564,P35499
DB00564,Q14524
DB00564,Q01118
DB00564,Q9UQD0
DB00564,Q15858
DB00564,P43681
DB00565,Q15822
DB00568,Q13936
DB00568,Q01668
DB00568,O60840
DB00568,Q13698
DB00568,O43497
DB00568,O95180
DB00568,Q9P0X4
DB00572,P23415
DB00572,P43681
DB00572,P17787
DB00590,Q12809
DB00590,Q9H252
DB00590,Q9NS40
DB00592,P28472
DB00593,O43497
DB00594,P37088
DB00594,P51168
DB00594,P51170
DB00594,P51172
DB00594,Q16515
DB00594,P78348
DB00599,P14867
DB00599,P47869
DB00599,P34903
DB00599,P48169
DB00599,P31644
DB00599,Q16445
DB00599,P43681
DB00599,P36544
DB00599,P42262
DB00599,Q13002
DB00602,O75311
DB00602,P28472
DB00603,P14867
DB00603,P47869
DB00603,P34903
DB00603,P48169
DB00603,P31644
DB00603,Q16445
DB00603,P18505
DB00603,P47870
DB00603,P28472
DB00603,O14764
DB00603,P78334
DB00603,Q8N1C3
DB00603,P18507
DB00603,Q99928
DB00603,Q9UN88
DB00604,P46098
DB00604,Q12809
DB00617,Q9P0X4
DB00622,Q13936
DB00622,Q08289
DB00622,P54289
DB00622,Q01668
DB00628,P14867
DB00628,P47869
DB00628,P34903
DB00628,P48169
DB00628,P31644
DB00628,Q16445
DB00628,P18505
DB00628,P47870
DB00628,P28472
DB00628,O14764
DB00628,P78334
DB00628,Q8N1C3
DB00628,P18507
DB00628,Q99928
DB00628,Q9UN88
DB00637,Q12809
DB00637,O95259
DB00645,Q9Y5Y9
DB00653,Q13936
DB00653,Q01668
DB00653,O60840
DB00653,Q13698
DB00653,Q02641
DB00653,Q08289
DB00653,P54284
DB00653,O00305
DB00653,O00555
DB00657,Q15822
DB00657,P36544
DB00657,P43681
DB00657,P17787
DB00659,P14867
DB00659,P47869
DB00659,P34903
DB00659,P48169
DB00659,P31644
DB00659,Q16445
DB00659,P18505
DB00659,P47870
DB00659,P28472
DB00659,O14764
DB00659,P78334
DB00659,Q8N1C3
DB00659,P18507
DB00659,Q99928
DB00659,Q9UN88
DB00659,Q05586
DB00659,Q12879
