uniprot,pathway_id,database
O15239,hsa05010,kegg
O43678,hsa05010,kegg
O95167,hsa05010,kegg
O00483,hsa05010,kegg
Q16718,hsa05010,kegg
P56556,hsa05010,kegg
O95182,hsa05010,kegg
P51970,hsa05010,kegg
Q16795,hsa05010,kegg
O95299,hsa05010,kegg
O14561,hsa05010,kegg
O75438,hsa05010,kegg
O95178,hsa05010,kegg
O43676,hsa05010,kegg
O95168,hsa05010,kegg
O43674,hsa05010,kegg
O95139,hsa05010,kegg
P17568,hsa05010,kegg
O95169,hsa05010,kegg
Q9Y6M9,hsa05010,kegg
O96000,hsa05010,kegg
O43677,hsa05010,kegg
O95298,hsa05010,kegg
P28331,hsa05010,kegg
O75306,hsa05010,kegg
O75489,hsa05010,kegg
P49821,hsa05010,kegg
O43181,hsa05010,kegg
O43920,hsa05010,kegg
O75380,hsa05010,kegg
O00217,hsa05010,kegg
P19404,hsa05010,kegg
P56181,hsa05010,kegg
P19838,hsa05010,kegg
P29475,hsa05010,kegg
P35228,hsa05010,kegg
O14983,hsa05010,kegg
P16615,hsa05010,kegg
P49281,hsa05010,kegg
Q9P0J0,hsa05010,kegg
P30049,hsa05010,kegg
P42336,hsa05010,kegg
P42338,hsa05010,kegg
O00329,hsa05010,kegg
P27986,hsa05010,kegg
O00459,hsa05010,kegg
P99999,hsa05010,kegg
Q96LZ3,hsa05010,kegg
P28482,hsa05010,kegg
P27361,hsa05010,kegg
Q9UI09,hsa05010,kegg
P45983,hsa05010,kegg
P45984,hsa05010,kegg
P53779,hsa05010,kegg
Q02750,hsa05010,kegg
P36507,hsa05010,kegg
P19525,hsa05010,kegg
P20618,hsa05010,kegg
P49721,hsa05010,kegg
P28074,hsa05010,kegg
P35354,hsa05010,kegg
P04049,hsa05010,kegg
Q04206,hsa05010,kegg
P31040,hsa05010,kegg
O14521,hsa05010,kegg
P37840,hsa05010,kegg
P15056,hsa05010,kegg
P01375,hsa05010,kegg
P68366,hsa05010,kegg
P21796,hsa05010,kegg
Q13936,hsa05010,kegg
Q01668,hsa05010,kegg
O60840,hsa05010,kegg
Q13698,hsa05010,kegg
Q71U36,hsa05010,kegg
P0DP23,hsa05010,kegg
Q9H4B7,hsa05010,kegg
P42574,hsa05010,kegg
O75385,hsa05010,kegg
P55211,hsa05010,kegg
Q92569,hsa05010,kegg
Q14457,hsa05010,kegg
P20674,hsa05010,kegg
Q8IYT8,hsa05010,kegg
P00387,hsa00520,kegg
P06744,hsa00520,kegg
P07686,hsa00520,kegg
Q9UHQ9,hsa00520,kegg
Q13630,hsa00520,kegg
O60701,hsa00520,kegg
Q9NSD9,hsa00970,kegg
Q9UGM6,hsa00970,kegg
O95363,hsa00970,kegg
Q5JPH6,hsa00970,kegg
P07814,hsa00970,kegg
Q9Y285,hsa00970,kegg
P41250,hsa00970,kegg
Q9HD40,hsa00970,kegg
P23381,hsa00970,kegg
Q9HA77,hsa00970,kegg
P49589,hsa00970,kegg
Q08828,hsa05146,kegg
P02751,hsa05146,kegg
P01579,hsa05146,kegg
P01584,hsa05146,kegg
P05231,hsa05146,kegg
P05089,hsa05146,kegg
P19838,hsa05146,kegg
P35228,hsa05146,kegg
Q06830,hsa05146,kegg
P50453,hsa05146,kegg
P42336,hsa05146,kegg
P42338,hsa05146,kegg
O00329,hsa05146,kegg
P27986,hsa05146,kegg
O00459,hsa05146,kegg
P17612,hsa05146,kegg
P22694,hsa05146,kegg
P17252,hsa05146,kegg
P05771,hsa05146,kegg
P05129,hsa05146,kegg
Q05397,hsa05146,kegg
Q04206,hsa05146,kegg
P01137,hsa05146,kegg
O60603,hsa05146,kegg
O00206,hsa05146,kegg
P01375,hsa05146,kegg
P07357,hsa05146,kegg
P07360,hsa05146,kegg
P02748,hsa05146,kegg
P42574,hsa05146,kegg
Q92569,hsa05146,kegg
P12814,hsa05146,kegg
O95622,hsa05031,kegg
Q8TCU5,hsa05031,kegg
O60391,hsa05031,kegg
P16220,hsa05031,kegg
P15336,hsa05031,kegg
P20711,hsa05031,kegg
P21728,hsa05031,kegg
P01100,hsa05031,kegg
P42261,hsa05031,kegg
P42262,hsa05031,kegg
P42263,hsa05031,kegg
P48058,hsa05031,kegg
Q05586,hsa05031,kegg
Q12879,hsa05031,kegg
Q13224,hsa05031,kegg
Q14957,hsa05031,kegg
O15399,hsa05031,kegg
Q13547,hsa05031,kegg
Q92769,hsa05031,kegg
P05412,hsa05031,kegg
P21397,hsa05031,kegg
P27338,hsa05031,kegg
P18848,hsa05031,kegg
Q96LZ3,hsa05031,kegg
P17612,hsa05031,kegg
P22694,hsa05031,kegg
P17252,hsa05031,kegg
P05771,hsa05031,kegg
P05129,hsa05031,kegg
Q01959,hsa05031,kegg
P54219,hsa05031,kegg
Q05940,hsa05031,kegg
