protein,pathway_id
P05412,WP2759
P05412,WP5098
P05412,WP3877
P05412,WP2786
P05412,WP3307
P05412,WP2840
P05412,WP3813
P05412,WP3594
P05412,WP3404
P05412,WP4432
P05412,WP2526
P05412,WP4047
P05412,WP5322
P05412,WP5288
P05412,WP5381
P05452,WP1903
P05546,WP2799
P05546,WP4110
P05546,WP1818
P05771,WP2654
P05771,WP5121
P05771,WP1903
P05771,WP4459
P05771,WP3558
P05771,WP3396
P05771,WP2746
P05771,WP1919
P05771,WP4105
P06213,WP1913
P06213,WP3635
P06213,WP3634
P06213,WP5181
P06213,WP2653
P06213,WP5288
P06213,WP5385
P06239,WP2694
P06239,WP1794
P06239,WP1927
P06239,WP2713
P06239,WP5098
P06239,WP1799
P06239,WP2732
P06239,WP5016
P06239,WP2684
P06239,WP1826
P06239,WP2653
P06241,WP2694
P06241,WP1794
P06241,WP3309
P06241,WP2719
P06241,WP1867
P06241,WP2780
P06241,WP2746
P06241,WP1907
P06241,WP2759
P06241,WP2713
P06241,WP5098
P06241,WP5000
P06241,WP1799
P06241,WP5016
P06241,WP2684
P06241,WP4083
P06241,WP2735
P06241,WP3354
P06241,WP1840
P06241,WP1919
P06241,WP1883
P06241,WP1866
P06241,WP1826
P06241,WP4993
P06241,WP2653
P06276,WP1870
P06276,WP2740
P06276,WP3436
P06280,WP4049
P06280,WP5292
P06280,WP2788
P06396,WP1784
P06396,WP4049
P06401,WP4447
P06401,WP2781
P06401,WP4058
P06401,WP1822
P06401,WP4432
P06493,WP2263
P06493,WP2654
P06493,WP4415
P06493,WP4102
P06493,WP3804
P06493,WP3307
P06493,WP2757
P06493,WP1858
P06493,WP3332
P06493,WP4124
P06493,WP4109
P06493,WP1775
P06493,WP4016
P06493,WP3289
P06493,WP3807
P06493,WP1859
P06493,WP2652
P06493,WP3498
P06493,WP5322
P06493,WP1971
P06493,WP5288
P06493,WP5381
P06702,WP3396
P06702,WP4101
P06702,WP4049
P06702,WP4069
P06702,WP5055
P06703,WP5055
P06727,WP4129
P06727,WP3839
P06732,WP5002
P06732,WP497
P06733,WP4093
P06744,WP4093
P06744,WP3349
P06744,WP4049
P06744,WP5220
P06744,WP5312
P06746,WP3345
P06746,WP4102
P06746,WP4016
P06756,WP1794
P06756,WP2787
P06756,WP1843
P06756,WP4049
P06756,WP3577
P06756,WP2703
P06756,WP1919
P06756,WP2666
P06858,WP4129
P06858,WP2751
P06858,WP3839
P06870,WP2799
P07098,WP4104
P07101,WP3591
P07101,WP3594
P07101,WP3548
P07101,WP4156
P07101,WP4220
P07101,WP5376
P07195,WP4595
P07195,WP2766
P07195,WP4236
P07195,WP5314
P07202,WP3548
P07203,WP2824
P07203,WP2650
P07203,WP4042
P07204,WP1794
