"drugbank_id","accession"
"DB00508","P14416"
"DB00509","P10827"
"DB00509","P10828"
"DB00511","P13637"
"DB00511","P50993"
"DB00511","P54710"
"DB00511","P05026"
"DB00511","P54709"
"DB00511","Q13733"
"DB00511","P05023"
"DB00511","P14415"
"DB00513","P00750"
"DB00513","P00747"
"DB00518","C4PKY4"
"DB00518","C4PKZ2"
"DB00518","C4PKZ6"
"DB00518","F1L7U3"
"DB00518","F1L5G6"
"DB00518","F1L7Y0"
"DB00518","F1L4P8"
"DB00518","F1LCS0"
"DB00518","F1L8A5"
"DB00518","F1L005"
"DB00519","P12821"
"DB00523","P28702"
"DB00523","P19793"
"DB00523","P48443"
"DB00523","P13631"
"DB00523","P10276"
"DB00523","P10826"
"DB00524","P55017"
"DB00532","Q15858"
"DB00532","P35499"
"DB00532","Q9UI33"
"DB00532","P35498"
"DB00532","Q9UQD0"
"DB00532","Q99250"
"DB00532","Q01118"
"DB00532","Q14524"
"DB00532","Q9Y5Y9"
"DB00532","Q9NY46"
"DB00533","P35354"
"DB00535","P0AD65"
"DB00535","P08506"
"DB00535","P0AEB2"
"DB00535","P0AD68"
"DB00535","P02918"
"DB00535","P24228"
"DB00535","P02919"
"DB00537","P0AES4"
"DB00537","P0AES6"
"DB00537","P0AFI2"
"DB00537","P20083"
"DB00543","P23975"
"DB00543","P21918"
"DB00543","P14416"
"DB00543","P21728"
"DB00543","P21917"
"DB00543","P35462"
"DB00543","P31645"
"DB00544","P04818"
"DB00547","P04150"
"DB00549","Q9Y271"
"DB00550","P49895"
"DB00550","P07202"
"DB00551","Q03283"
"DB00551","Q03282"
"DB00551","Q03284"
"DB00552","P00813"
"DB00554","P23219"
"DB00554","P35354"
"DB00555","Q15858"
"DB00555","P35499"
"DB00555","Q9UI33"
"DB00555","P35498"
"DB00555","Q9UQD0"
"DB00555","Q99250"
"DB00555","Q01118"
"DB00555","Q14524"
"DB00555","Q9Y5Y9"
"DB00555","Q9NY46"
"DB00558","P03474"
"DB00558","P03468"
"DB00559","P24530"
"DB00559","P25101"
"DB00560","P0A7R9"
"DB00560","P0C018"
"DB00560","P0A7N4"
"DB00560","P0A7T3"
"DB00560","P0A7V0"
"DB00560","P0AG44"
"DB00560","P0A7L0"
"DB00560","P60422"
"DB00560","P0AG51"
"DB00560","P0ADZ4"
"DB00560","P0A7N9"
"DB00560","P0AG63"
"DB00560","P0AG59"
"DB00560","P60723"
"DB00560","P0A7S3"
"DB00560","P0AG67"
"DB00560","P0ADY3"
"DB00560","P0A7J3"
"DB00560","P0A7J7"
"DB00560","P0AG48"
"DB00560","P68919"
"DB00560","P0AA10"
"DB00560","P0A7S9"
"DB00560","P0A7R5"
"DB00560","P68679"
"DB00560","P60624"
"DB00560","P0A7T7"
"DB00560","P0A7N1"
"DB00560","P0A7M6"
"DB00560","P0A7M9"
"DB00560","P0A7X3"
"DB00560","P0A7Q1"
"DB00560","Q2EEQ2"
"DB00560","P0A7Q6"
"DB00560","P62399"
"DB00560","P0A7K6"
"DB00560","P0A7U7"
"DB00560","P0A7P5"
"DB00560","P0AG55"
"DB00560","P0A7W1"
"DB00560","P0A7V3"
"DB00560","P0ADZ0"
"DB00560","P0A7U3"
"DB00560","P0A7K2"
"DB00560","P02358"
"DB00560","P0A7V8"
"DB00560","P0A7W7"
"DB00560","P0A7M2"
"DB00560","P60438"
"DB00560","P02359"
"DB00560","P0ADY7"
"DB00560","P0A7L8"
"DB00560","P0A7L3"
"DB00560","P02413"
"DB00560","P61175"
"DB00562","P55017"
"DB00563","P00374"
"DB00564","Q15858"
"DB00564","P35499"
"DB00564","Q9UI33"
"DB00564","P35498"
"DB00564","Q9UQD0"
"DB00564","Q99250"
"DB00564","Q01118"
"DB00564","Q14524"
"DB00564","Q9Y5Y9"
"DB00564","Q9NY46"
"DB00572","P20309"
"DB00572","P08172"
"DB00572","P11229"
"DB00575","P08913"
"DB00575","P18825"
"DB00575","P18089"
"DB00576","P0AC13"
"DB00579","P31645"
"DB00579","Q01959"
"DB00579","P23975"
"DB00580","P35354"
"DB00582","P10613"
"DB00585","P25021"
"DB00586","P23219"
"DB00586","P35354"
"DB00588","P04150"
"DB00591","P04150"
"DB00593","Q9P0X4"
"DB00593","O43497"
"DB00593","O95180"
"DB00595","P0A7R9"
"DB00595","P0C018"
"DB00595","P0A7N4"
"DB00595","P0A7T3"
"DB00595","P0A7V0"
"DB00595","P0AG44"
"DB00595","P0A7L0"
"DB00595","P60422"
"DB00595","P0AG51"
"DB00595","P0ADZ4"
"DB00595","P0A7N9"
"DB00595","P0AG63"
"DB00595","P0AG59"
"DB00595","P60723"
"DB00595","P0A7S3"
"DB00595","P0AG67"
"DB00595","P0ADY3"
"DB00595","P0A7J3"
"DB00595","P0A7J7"
"DB00595","P0AG48"
"DB00595","P68919"
"DB00595","P0AA10"
"DB00595","P0A7S9"
"DB00595","P0A7R5"
"DB00595","P68679"
"DB00595","P60624"
"DB00595","P0A7T7"
"DB00595","P0A7N1"
"DB00595","P0A7M6"
"DB00595","P0A7M9"
"DB00595","P0A7X3"
"DB00595","P0A7Q1"
"DB00595","Q2EEQ2"
"DB00595","P0A7Q6"
"DB00595","P62399"
"DB00595","P0A7K6"
"DB00595","P0A7U7"
"DB00595","P0A7P5"
"DB00595","P0AG55"
"DB00595","P0A7W1"
"DB00595","P0A7V3"
"DB00595","P0ADZ0"
"DB00595","P0A7U3"
"DB00595","P0A7K2"
"DB00595","P02358"
"DB00595","P0A7V8"
"DB00595","P0A7W7"
"DB00595","P0A7M2"
"DB00595","P60438"
"DB00595","P02359"
"DB00595","P0ADY7"
"DB00595","P0A7L8"
"DB00595","P0A7L3"
"DB00595","P02413"
"DB00595","P61175"
"DB00600","P14679"
"DB00601","P0A7R9"
"DB00601","P0C018"
"DB00601","P0A7N4"
"DB00601","P0A7T3"
"DB00601","P0A7V0"
"DB00601","P0AG44"
"DB00601","P0A7L0"
"DB00601","P60422"
"DB00601","P0AG51"
"DB00601","P0ADZ4"
"DB00601","P0A7N9"
"DB00601","P0AG63"
"DB00601","P0AG59"
"DB00601","P60723"
"DB00601","P0A7S3"
"DB00601","P0AG67"
"DB00601","P0ADY3"
"DB00601","P0A7J3"
"DB00601","P0A7J7"
"DB00601","P0AG48"
"DB00601","P68919"
"DB00601","P0AA10"
"DB00601","P0A7S9"
"DB00601","P0A7R5"
"DB00601","P68679"
"DB00601","P60624"
