Drug,Protein
DB00652,Q99720
DB00654,P43088
DB00655,P03372
DB00656,P28223
DB00656,P28335
DB00656,P31645
DB00657,P30926
DB00657,P32297
DB00659,P14867
DB00659,P18507
DB00659,Q8N1C3
DB00659,O14764
DB00659,P31644
DB00659,P47870
DB00659,P18505
DB00659,Q16445
DB00659,P34903
DB00659,P28472
DB00659,Q99928
DB00659,P47869
DB00659,Q9UN88
DB00659,P78334
DB00659,P48169
DB00659,O15399
DB00659,O60391
DB00659,Q05586
DB00659,Q13224
DB00659,Q8TCU5
DB00659,Q12879
DB00659,Q14957
DB00661,O60840
DB00661,Q01668
DB00661,Q13936
DB00661,Q13698
DB00665,P10275
DB00668,P08913
DB00668,P35348
DB00668,P08588
DB00668,P07550
DB00668,P35368
DB00668,P18089
DB00668,P18825
DB00668,P13945
DB00668,P25100
DB00669,P28222
DB00669,P28221
DB00670,P11229
DB00672,Q09428
DB00672,Q14654
DB00673,P25103
DB00674,P22303
DB00675,P03372
DB00677,P22303
DB00678,P30556
DB00679,P28223
DB00679,P28335
DB00679,P21917
DB00679,P14416
DB00679,P35462
DB00680,P35498
DB00680,P35499
DB00680,Q9Y5Y9
DB00680,Q9UQD0
DB00680,Q9UI33
DB00680,Q9NY46
DB00680,Q15858
DB00680,Q99250
DB00680,Q14524
DB00680,Q01118
DB00682,Q9BQB6
DB00683,P14867
DB00683,P18507
DB00683,Q8N1C3
DB00683,O14764
DB00683,P31644
DB00683,P47870
DB00683,P18505
DB00683,Q16445
DB00683,P34903
DB00683,P28472
DB00683,Q99928
DB00683,P47869
DB00683,Q9UN88
DB00683,P78334
DB00683,P48169
DB00688,P12268
DB00688,P20839
DB00690,P14867
DB00690,P18507
DB00690,Q8N1C3
DB00690,O14764
DB00690,P31644
DB00690,P47870
DB00690,P18505
DB00690,Q16445
DB00690,P34903
DB00690,P28472
DB00690,Q99928
DB00690,P47869
DB00690,Q9UN88
DB00690,P78334
DB00690,P48169
DB00691,P12821
DB00692,P08913
DB00692,P35368
DB00692,P18089
DB00692,P25100
DB00692,P18825
DB00692,P35348
DB00694,P11388
DB00695,Q13621
DB00696,P28221
DB00696,P08913
DB00696,P35368
DB00696,P18089
DB00696,P25100
DB00696,P18825
DB00696,P35348
DB00697,P18825
DB00697,P08913
DB00697,P18089
DB00700,P08235
DB00703,P00918
DB00703,P00915
DB00703,P22748
DB00704,P35372
DB00704,P41143
DB00704,P41145
DB00706,P35368
DB00706,P35348
DB00706,P25100
DB00708,P35372
DB00710,P14324
DB00712,P35354
DB00712,P23219
DB00714,P21917
DB00714,P14416
DB00714,P35462
DB00715,P31645
DB00717,P06401
DB00719,P35367
DB00721,P35498
DB00721,P35499
DB00721,Q9Y5Y9
DB00721,Q9UQD0
DB00721,Q9UI33
DB00721,Q9NY46
DB00721,Q15858
DB00721,Q99250
DB00721,Q14524
DB00721,Q01118
DB00722,P12821
DB00723,P35368
DB00723,P35348
DB00723,P25100
DB00724,Q9NYK1
DB00726,P35368
DB00726,P35348
DB00726,P25100
DB00726,P14416
DB00726,P23975
DB00726,P28223
DB00726,P28335
DB00726,P35367
DB00728,P02708
DB00731,Q09428
DB00731,Q14654
DB00733,P22303
DB00734,P14416
DB00734,P28223
DB00734,P28335
DB00736,P51164
DB00736,P20648
DB00737,P35367
DB00740,P35498
DB00740,P35499
DB00740,Q9Y5Y9
DB00740,Q9UQD0
DB00740,Q9UI33
DB00740,Q9NY46
DB00740,Q15858
DB00740,Q99250
DB00740,Q14524
DB00740,Q01118
DB00741,P04150
DB00744,P09917
DB00745,Q01959
DB00747,P11229
DB00748,P35367
DB00749,P35354
DB00750,P35498
DB00750,P35499
DB00750,Q9Y5Y9
DB00750,Q9UQD0
DB00750,Q9UI33
DB00750,Q9NY46
DB00750,Q15858
DB00750,Q99250
DB00750,Q14524
DB00750,Q01118
DB00751,P35367
DB00753,P14867
DB00753,P18507
DB00753,Q8N1C3
DB00753,O14764
DB00753,P31644
DB00753,P47870
DB00753,P18505
DB00753,Q16445
DB00753,P34903
DB00753,P28472
DB00753,Q99928
DB00753,P47869
DB00753,Q9UN88
DB00753,P78334
DB00753,P48169
DB00753,O14649
DB00753,Q9NPC2
DB00753,O95069
DB00753,P23415
DB00753,P48167
DB00754,P35498
DB00754,P35499
DB00754,Q9Y5Y9
DB00754,Q9UQD0
DB00754,Q9UI33
DB00754,Q9NY46
DB00754,Q15858
DB00754,Q99250
DB00754,Q14524
DB00754,Q01118
DB00755,P13631
DB00755,P10276
DB00755,P10826
DB00757,P46098
DB00758,Q9H244
DB00762,P11387
DB00763,P07202
DB00765,P07101
DB00768,P35367
DB00769,P04150
DB00770,P34995
DB00770,P43116
DB00773,P11388
DB00773,Q02880
DB00774,P55017
DB00775,P05106
DB00775,P08514
DB00776,P35498
DB00776,P35499
DB00776,Q9Y5Y9
DB00776,Q9UQD0
DB00776,Q9UI33
DB00776,Q9NY46
DB00776,Q15858
DB00776,Q99250
DB00776,Q14524
DB00776,Q01118
DB00777,P35367
DB00780,P21397
DB00780,P27338
DB00782,P08172
DB00782,P11229
DB00782,P20309
DB00783,P03372
DB00784,P35354
DB00784,P23219
DB00788,P35354
DB00788,P23219
DB00790,P12821
DB00792,P35367
DB00794,P14867
DB00794,P18507
DB00794,Q8N1C3
DB00794,O14764
DB00794,P31644
DB00794,P47870
DB00794,P18505
DB00794,Q16445
DB00794,P34903
DB00794,P28472
DB00794,Q99928
DB00794,P47869
DB00794,Q9UN88
DB00794,P78334
DB00794,P48169
DB00794,P35498
DB00794,P35499
DB00794,Q9Y5Y9
DB00794,Q9UQD0
DB00794,Q9UI33
DB00794,Q9NY46
DB00794,Q15858
DB00794,Q99250
DB00794,Q14524
DB00794,Q01118
DB00795,P35354
DB00795,P23219
DB00795,P09917
DB00796,P30556
DB00797,P25021
DB00797,P08913
DB00797,P35368
DB00797,P18089
DB00797,P25100
DB00797,P18825
DB00797,P35348
DB00797,P35367
DB00799,P13631
DB00799,P10276
DB00799,P10826
DB00800,P21728
DB00801,P14867
DB00801,P18507
DB00801,Q8N1C3
DB00801,O14764
DB00801,P31644
DB00801,P47870
DB00801,P18505
DB00801,Q16445
DB00801,P34903
DB00801,P28472
DB00801,Q99928
DB00801,P47869
DB00801,Q9UN88
DB00801,P78334
DB00801,P48169
DB00802,P35372
DB00804,P11229
DB00804,P20309
DB00805,P21397
DB00805,P41595
DB00805,P28223
DB00805,P28335
DB00805,P21728
DB00805,P14416
DB00805,P11229
DB00805,P22303
DB00806,P29274
DB00806,P29275
DB00806,P27815
DB00806,Q08499
DB00806,P54750
DB00806,O00408
DB00806,Q13370
DB00806,Q14432
DB00806,Q14123
DB00806,Q08493
DB00806,O60658
DB00806,Q9NP56
DB00806,Q07343
DB00806,O76083
DB00806,P16499
DB00806,P35913
DB00806,Q01064
DB00806,P18545
DB00806,Q13956
DB00806,O76074
DB00806,Q9Y233
DB00806,Q13946
DB00806,O95263
DB00807,P35498
DB00807,P35499
DB00807,Q9Y5Y9
DB00807,Q9UQD0
DB00807,Q9UI33
DB00807,Q9NY46
DB00807,Q15858
DB00807,Q99250
DB00807,Q14524
DB00807,Q01118
DB00808,P55017
DB00809,P20309
DB00810,P11229
DB00811,P20839
DB00812,P35354
DB00812,P23219
DB00813,P35372
DB00814,P35354
DB00816,P07550
DB00818,P14867
